Rebalance Date,Next Date,Top Stocks,Gross Return %,Net Return %,Portfolio Value
2022-03-31,2022-04-30,"['TTML.NS', 'SARDAEN.NS', 'TANLA.NS', 'FLUOROCHEM.NS', 'JINDALSTEL.NS', 'OLECTRA.NS', 'NETWORK18.NS', 'GNFC.NS', 'TATAELXSI.NS', 'DBREALTY.NS', 'BDL.NS', 'ADANIENT.NS', 'ADANIGREEN.NS', 'TRIVENI.NS', 'ELGIEQUIP.NS', 'KEI.NS', 'NH.NS', 'INDHOTEL.NS', 'CENTURYPLY.NS', 'ATGL.NS', 'BANKBARODA.NS', 'MINDACORP.NS', 'USHAMART.NS', 'GMDCLTD.NS', 'LINDEINDIA.NS', 'SUZLON.NS', 'TATAPOWER.NS', 'GRAVITA.NS', 'VEDL.NS', 'MAHSEAMLES.NS', 'ADANIPOWER.NS', 'JPPOWER.NS', 'KPITTECH.NS', 'JBMA.NS', 'TRIDENT.NS', 'NATIONALUM.NS', 'DEEPAKFERT.NS', 'KPRMILL.NS', 'CGPOWER.NS', 'PAGEIND.NS', 'RHIM.NS', 'HSCL.NS', 'PGEL.NS', 'SAREGAMA.NS', 'SWANENERGY.NS', 'RAYMOND.NS', 'POONAWALLA.NS', 'LEMONTREE.NS', 'THERMAX.NS', 'BSE.NS']",5.67,5.61,3310778.46
2022-04-30,2022-05-31,"['TTML.NS', 'SARDAEN.NS', 'FLUOROCHEM.NS', 'TIINDIA.NS', 'GNFC.NS', 'BALRAMCHIN.NS', 'DBREALTY.NS', 'TATAELXSI.NS', 'BDL.NS', 'ADANIENT.NS', 'ADANIGREEN.NS', 'TRIVENI.NS', 'ELGIEQUIP.NS', 'RENUKA.NS', 'KEI.NS', 'INDHOTEL.NS', 'WELCORP.NS', 'NH.NS', 'MRPL.NS', 'ATGL.NS', 'MINDACORP.NS', 'CREDITACC.NS', 'USHAMART.NS', 'GMDCLTD.NS', 'LINDEINDIA.NS', 'CHENNPETRO.NS', 'SUZLON.NS', 'GRAVITA.NS', 'GRSE.NS', 'VEDL.NS', 'ADANIPOWER.NS', 'RCF.NS', 'JPPOWER.NS', 'KPITTECH.NS', 'JBMA.NS', 'TRIDENT.NS', 'DEEPAKFERT.NS', 'KPRMILL.NS', 'CGPOWER.NS', 'BLS.NS', 'RHIM.NS', 'PGEL.NS', 'SCHAEFFLER.NS', 'SWANENERGY.NS', 'RAYMOND.NS', 'POONAWALLA.NS', 'NAVA.NS', 'THERMAX.NS', 'JWL.NS', 'BSE.NS']",-6.22,-6.27,3103149.4
2022-05-31,2022-06-30,"['FLUOROCHEM.NS', 'SUMICHEM.NS', 'GNFC.NS', 'TATAELXSI.NS', 'DBREALTY.NS', 'BALRAMCHIN.NS', 'BDL.NS', 'NLCINDIA.NS', 'ADANIENT.NS', 'ADANIGREEN.NS', 'TRIVENI.NS', 'ELGIEQUIP.NS', 'RENUKA.NS', 'INDHOTEL.NS', 'GESHIP.NS', 'WELCORP.NS', 'MRPL.NS', 'ATGL.NS', 'LEMONTREE.NS', 'M&M.NS', 'MINDACORP.NS', 'CREDITACC.NS', 'USHAMART.NS', 'GMDCLTD.NS', 'CGCL.NS', 'SUZLON.NS', 'CHENNPETRO.NS', 'COROMANDEL.NS', 'CHOLAFIN.NS', 'GRAVITA.NS', 'ADANIPOWER.NS', 'COALINDIA.NS', 'RCF.NS', 'JPPOWER.NS', 'DEEPAKFERT.NS', 'BLS.NS', 'RHIM.NS', 'HAL.NS', 'HSCL.NS', 'ITC.NS', 'PGEL.NS', 'SCHAEFFLER.NS', 'CHALET.NS', 'NTPC.NS', 'SWANENERGY.NS', 'RAYMOND.NS', 'POONAWALLA.NS', 'NAVA.NS', 'JWL.NS', 'BSE.NS']",-5.7,-5.75,2924663.6
2022-06-30,2022-07-31,"['TIMKEN.NS', 'PHOENIXLTD.NS', 'GNFC.NS', 'TATAELXSI.NS', 'BDL.NS', 'ADANIENT.NS', 'OIL.NS', 'ADANIGREEN.NS', 'ELGIEQUIP.NS', 'RENUKA.NS', 'BLUEDART.NS', 'INDHOTEL.NS', 'GESHIP.NS', 'WELCORP.NS', 'MRPL.NS', 'ATGL.NS', 'LEMONTREE.NS', 'M&M.NS', 'BANKBARODA.NS', 'MINDACORP.NS', 'CREDITACC.NS', 'USHAMART.NS', 'GMDCLTD.NS', 'CGCL.NS', 'LINDEINDIA.NS', 'CHENNPETRO.NS', 'COROMANDEL.NS', 'SWANENERGY.NS', 'CHOLAFIN.NS', 'MAHSEAMLES.NS', 'ADANIPOWER.NS', 'COALINDIA.NS', 'EIDPARRY.NS', 'AIAENG.NS', 'DEEPAKFERT.NS', 'BLS.NS', 'PATANJALI.NS', 'ASHOKLEY.NS', 'HAL.NS', 'RHIM.NS', 'ELECON.NS', 'CHALET.NS', 'VBL.NS', 'HSCL.NS', 'SCHAEFFLER.NS', 'ITC.NS', 'TVSMOTOR.NS', 'RAYMOND.NS', 'NAVA.NS', 'JWL.NS']",11.55,11.49,3260765.12
2022-07-31,2022-08-31,"['TIMKEN.NS', 'JYOTHYLAB.NS', 'PHOENIXLTD.NS', 'PIIND.NS', 'TIINDIA.NS', 'GNFC.NS', 'BDL.NS', 'ADANIENT.NS', 'RENUKA.NS', 'BLUEDART.NS', 'INDHOTEL.NS', 'GESHIP.NS', 'WELCORP.NS', 'BEL.NS', 'RAYMOND.NS', 'MRPL.NS', 'CUMMINSIND.NS', 'ATGL.NS', 'LEMONTREE.NS', 'M&M.NS', 'USHAMART.NS', 'GMDCLTD.NS', 'CGCL.NS', 'LINDEINDIA.NS', 'CHENNPETRO.NS', 'COROMANDEL.NS', 'SWANENERGY.NS', 'APARINDS.NS', 'MAHSEAMLES.NS', 'ADANIPOWER.NS', 'COALINDIA.NS', 'AIAENG.NS', 'TRENT.NS', 'ABBOTINDIA.NS', 'DEEPAKFERT.NS', 'CGPOWER.NS', 'BLS.NS', 'PATANJALI.NS', 'HAL.NS', 'ELECON.NS', 'HSCL.NS', 'VBL.NS', 'SCHAEFFLER.NS', 'ITC.NS', 'ASTERDM.NS', 'PGEL.NS', 'CHALET.NS', 'TVSMOTOR.NS', 'CREDITACC.NS', 'NAVA.NS']",7.48,7.43,3503183.88
2022-08-31,2022-09-30,"['TIMKEN.NS', 'KIRLOSENG.NS', 'PHOENIXLTD.NS', 'SOLARINDS.NS', 'CEATLTD.NS', 'TIINDIA.NS', 'GVT&D.NS', 'TATAELXSI.NS', 'BDL.NS', 'INDIANB.NS', 'ADANIENT.NS', 'ELGIEQUIP.NS', 'CUB.NS', 'RENUKA.NS', 'KEI.NS', 'BLUEDART.NS', 'INDHOTEL.NS', 'GESHIP.NS', 'WELCORP.NS', 'BEL.NS', 'M&MFIN.NS', 'TITAGARH.NS', 'MRPL.NS', 'ABB.NS', 'ATGL.NS', 'PCBL.NS', 'M&M.NS', 'USHAMART.NS', 'CHENNPETRO.NS', 'TEJASNET.NS', 'APARINDS.NS', 'NHPC.NS', 'MAHSEAMLES.NS', 'ADANIPOWER.NS', 'COALINDIA.NS', 'AIAENG.NS', 'DEEPAKFERT.NS', 'BLS.NS', 'PATANJALI.NS', 'KARURVYSYA.NS', 'HAL.NS', 'ELECON.NS', 'HSCL.NS', 'VBL.NS', 'SCHAEFFLER.NS', 'ITC.NS', 'PGEL.NS', 'TVSMOTOR.NS', 'NAVA.NS', 'JWL.NS']",0.03,-0.04,3501828.93
2022-09-30,2022-10-31,"['TIMKEN.NS', 'SCHNEIDER.NS', 'FLUOROCHEM.NS', 'KIRLOSENG.NS', 'ANANTRAJ.NS', 'SOLARINDS.NS', 'CEATLTD.NS', 'TIINDIA.NS', 'GVT&D.NS', 'COCHINSHIP.NS', 'BDL.NS', 'ADANIENT.NS', 'ELGIEQUIP.NS', 'WESTLIFE.NS', 'RENUKA.NS', 'INDHOTEL.NS', 'WELCORP.NS', 'AMBUJACEM.NS', 'GESHIP.NS', 'EICHERMOT.NS', 'TITAGARH.NS', 'BEL.NS', 'ABB.NS', 'ATGL.NS', 'JKTYRE.NS', 'MRPL.NS', 'LEMONTREE.NS', 'M&M.NS', 'CHENNPETRO.NS', 'TEJASNET.NS', 'APARINDS.NS', 'GRSE.NS', 'APOLLOTYRE.NS', 'ADANIPOWER.NS', 'MAHSEAMLES.NS', 'AIAENG.NS', 'DEEPAKFERT.NS', 'TARIL.NS', 'BLS.NS', 'PATANJALI.NS', 'KARURVYSYA.NS', 'HAL.NS', 'TATAINVEST.NS', 'ELECON.NS', 'VBL.NS', 'SCHAEFFLER.NS', 'PGEL.NS', 'TVSMOTOR.NS', 'ASAHIINDIA.NS', 'JWL.NS']",3.54,3.49,3624001.0
2022-10-31,2022-11-30,"['TIMKEN.NS', 'FLUOROCHEM.NS', 'CERA.NS', 'ANANTRAJ.NS', 'KIRLOSENG.NS', 'SOLARINDS.NS', 'CEATLTD.NS', 'TIINDIA.NS', 'COCHINSHIP.NS', 'INDIANB.NS', 'ADANIENT.NS', 'WESTLIFE.NS', 'ELGIEQUIP.NS', 'CUB.NS', 'GESHIP.NS', 'EICHERMOT.NS', 'AMBUJACEM.NS', 'JKTYRE.NS', 'TITAGARH.NS', 'ABB.NS', 'BEL.NS', 'ATGL.NS', 'IDFCFIRSTB.NS', 'BANKBARODA.NS', 'M&M.NS', 'TRITURBINE.NS', 'TEJASNET.NS', 'APARINDS.NS', 'GRSE.NS', 'RITES.NS', 'APOLLOTYRE.NS', 'COALINDIA.NS', 'INOXWIND.NS', 'AIAENG.NS', 'DEEPAKFERT.NS', 'FEDERALBNK.NS', 'TARIL.NS', 'BLS.NS', 'KARURVYSYA.NS', 'HAL.NS', 'TATAINVEST.NS', 'ELECON.NS', 'HSCL.NS', 'VBL.NS', 'ITC.NS', 'BHEL.NS', 'TVSMOTOR.NS', 'RAYMOND.NS', 'ASAHIINDIA.NS', 'UNIONBANK.NS']",4.95,4.89,3801288.4
2022-11-30,2022-12-31,"['SCHNEIDER.NS', 'CCL.NS', 'KIRLOSENG.NS', 'ANANTRAJ.NS', 'CEATLTD.NS', 'TIINDIA.NS', 'COCHINSHIP.NS', 'INDIANB.NS', 'ADANIENT.NS', 'WESTLIFE.NS', 'ACE.NS', 'GESHIP.NS', 'AMBUJACEM.NS', 'JKTYRE.NS', 'TITAGARH.NS', 'IDFCFIRSTB.NS', 'ATGL.NS', 'RVNL.NS', 'NEULANDLAB.NS', 'IRCON.NS', 'BANKBARODA.NS', 'TRITURBINE.NS', 'PNB.NS', 'CANBK.NS', 'UCOBANK.NS', 'TEJASNET.NS', 'BANKINDIA.NS', 'HUDCO.NS', 'APARINDS.NS', 'GRSE.NS', 'RITES.NS', 'MAHABANK.NS', 'FINCABLES.NS', 'JSL.NS', 'FEDERALBNK.NS', 'CGPOWER.NS', 'TARIL.NS', 'BLS.NS', 'KARURVYSYA.NS', 'J&KBANK.NS', 'HAL.NS', 'TATAINVEST.NS', 'ELECON.NS', 'GODFRYPHLP.NS', 'VBL.NS', 'HSCL.NS', 'BHEL.NS', 'LEMONTREE.NS', 'UNIONBANK.NS', 'JWL.NS']",1.78,1.71,3866231.47
2022-12-31,2023-01-31,"['IDBI.NS', 'SCHNEIDER.NS', 'JINDALSTEL.NS', 'KIRLOSENG.NS', 'ANANTRAJ.NS', 'CEATLTD.NS', 'COCHINSHIP.NS', 'DBREALTY.NS', 'INDIANB.NS', 'ADANIENT.NS', 'GESHIP.NS', 'JKTYRE.NS', 'TITAGARH.NS', 'IDFCFIRSTB.NS', 'RVNL.NS', 'CENTRALBK.NS', 'IRCON.NS', 'BANKBARODA.NS', 'ABCAPITAL.NS', 'PNB.NS', 'CANBK.NS', 'TRITURBINE.NS', 'UCOBANK.NS', 'SUZLON.NS', 'BANKINDIA.NS', 'GRSE.NS', 'APARINDS.NS', 'MAHABANK.NS', 'RCF.NS', 'APOLLOTYRE.NS', 'YESBANK.NS', 'JSL.NS', 'FACT.NS', 'SAMMAANCAP.NS', 'TARIL.NS', 'BLS.NS', 'KARURVYSYA.NS', 'J&KBANK.NS', 'IOB.NS', 'RHIM.NS', 'HSCL.NS', 'GODFRYPHLP.NS', 'VBL.NS', 'RBLBANK.NS', 'BHEL.NS', 'SWANENERGY.NS', 'RAYMOND.NS', 'RKFORGE.NS', 'UNIONBANK.NS', 'JWL.NS']",-2.57,-2.64,3764199.63
2023-01-31,2023-02-28,"['IDBI.NS', 'SCHNEIDER.NS', 'JINDALSTEL.NS', 'KIRLOSENG.NS', 'ANANTRAJ.NS', 'SOLARINDS.NS', 'COCHINSHIP.NS', 'JINDALSAW.NS', 'INDIANB.NS', 'NCC.NS', 'ACE.NS', 'NMDC.NS', 'TITAGARH.NS', 'IDFCFIRSTB.NS', 'RVNL.NS', 'CENTRALBK.NS', 'IRCON.NS', 'BANKBARODA.NS', 'PNB.NS', 'TRITURBINE.NS', 'PNBHOUSING.NS', 'UCOBANK.NS', 'SUZLON.NS', 'BANKINDIA.NS', 'GRAVITA.NS', 'GRSE.NS', 'APARINDS.NS', 'NIACL.NS', 'MAHABANK.NS', 'APOLLOTYRE.NS', 'JSL.NS', 'GICRE.NS', 'FACT.NS', 'REDINGTON.NS', 'TARIL.NS', 'BLS.NS', 'KARURVYSYA.NS', 'J&KBANK.NS', 'IOB.NS', 'RHIM.NS', 'TATAINVEST.NS', 'GODFRYPHLP.NS', 'RBLBANK.NS', 'BHEL.NS', 'SWANENERGY.NS', 'RAYMOND.NS', 'RKFORGE.NS', 'IIFL.NS', 'UNIONBANK.NS', 'JWL.NS']",-8.39,-8.44,3446489.73
2023-02-28,2023-03-31,"['CERA.NS', 'JINDALSTEL.NS', 'KIRLOSENG.NS', 'PERSISTENT.NS', 'ZENTEC.NS', 'JINDALSAW.NS', 'SUPREMEIND.NS', 'ZENSARTECH.NS', 'INDIANB.NS', 'OIL.NS', 'NCC.NS', 'APLAPOLLO.NS', 'ACE.NS', 'CUMMINSIND.NS', 'RVNL.NS', 'NEULANDLAB.NS', 'CENTRALBK.NS', 'IRCON.NS', 'ABCAPITAL.NS', 'TRITURBINE.NS', 'PNB.NS', 'PNBHOUSING.NS', 'UCOBANK.NS', 'BANKINDIA.NS', 'GRAVITA.NS', 'APARINDS.NS', 'GRSE.NS', 'BLUESTARCO.NS', 'FINCABLES.NS', 'MAHABANK.NS', 'PFC.NS', 'SONATSOFTW.NS', 'KPITTECH.NS', 'JSL.NS', 'JBMA.NS', 'FACT.NS', 'CGPOWER.NS', 'TARIL.NS', 'KARURVYSYA.NS', 'J&KBANK.NS', 'IOB.NS', 'TATAINVEST.NS', 'GODFRYPHLP.NS', 'PGEL.NS', 'RBLBANK.NS', 'VBL.NS', 'RAYMOND.NS', 'RKFORGE.NS', 'IIFL.NS', 'UNIONBANK.NS']",3.4,3.32,3560929.76
